sector_id,scenario,rank,title,category,score_delta,from_score,to_score,suggested_lat,suggested_lng
21001A732,family,2,+1 supermarket within 400m,supermarket,5,84,89,50.840204,4.29851
21001A732,remote,1,+1 coworking space within 550m,coworking,20,63,83,50.841873,4.291147
21001A732,remote,2,+1 café within 400m,cafe,7,63,70,50.840478,4.300688
21001A732,remote,3,+1 supermarket within 400m,supermarket,5,63,68,50.840204,4.29851
21001A732,senior,1,+1 supermarket within 300m,supermarket,11,67,78,50.841096,4.29851
21001A732,senior,2,+1 hospital within 0m,hospital,8,67,75,50.843799,4.29851
21001A732,senior,3,+1 library within 400m,library,5,67,72,50.845247,4.304046
21001A74-,family,1,+1 childcare centre within 400m,childcare,7,78,85,50.842956,4.306531
21001A74-,family,2,+1 supermarket within 400m,supermarket,7,78,85,50.841903,4.302505
21001A74-,remote,1,+1 coworking space within 550m,coworking,20,62,82,50.843572,4.295142
21001A74-,remote,2,+1 supermarket within 400m,supermarket,7,62,69,50.841903,4.302505
21001A74-,remote,3,+1 library within 550m,library,6,62,68,50.847423,4.309869
21001A74-,senior,1,+1 supermarket within 300m,supermarket,12,62,74,50.842795,4.302505
21001A74-,senior,2,+1 hospital within 0m,hospital,7,62,69,50.845497,4.302505
21001A74-,senior,3,+1 park within 300m,park,5,62,67,50.847409,4.299479
21001A783,family,1,+1 childcare centre within 400m,childcare,10,86,96,50.844013,4.31729
21001A783,remote,1,+1 coworking space within 550m,coworking,19,73,92,50.844629,4.305901
21001A783,remote,2,+1 library within 550m,library,7,73,80,50.84848,4.320628
21001A783,senior,1,+1 library within 400m,library,5,82,87,50.848003,4.318801
21001A783,senior,2,+1 hospital within 0m,hospital,3,82,85,50.846555,4.313265
21001A80-,family,1,+1 childcare centre within 400m,childcare,6,85,91,50.833565,4.292705
21001A80-,family,2,+1 playground within 250m,playground,3,85,88,50.8381,4.289987
21001A80-,remote,1,+1 coworking space within 550m,coworking,20,72,92,50.834181,4.281318
21001A80-,remote,2,+1 library within 550m,library,2,72,74,50.838033,4.296042
21001A80-,senior,1,+1 supermarket within 300m,supermarket,9,77,86,50.833404,4.28868
21001A80-,senior,2,+1 park within 300m,park,5,77,82,50.838018,4.285654
21001A80-,senior,3,+1 library within 400m,library,4,77,81,50.837555,4.294215
21001A81-,family,1,+1 playground within 250m,playground,4,86,90,50.840523,4.290418
21001A81-,remote,1,+1 coworking space within 550m,coworking,20,69,89,50.836605,4.281749
21001A81-,remote,2,+1 library within 550m,library,4,69,73,50.840457,4.296474
21001A81-,senior,1,+1 park within 300m,park,7,78,85,50.840442,4.286085
21001A81-,senior,2,+1 hospital within 0m,hospital,6,78,84,50.838531,4.289112
21001A81-,senior,3,+1 library within 400m,library,4,78,82,50.839979,4.294647
21001A82-,family,1,+1 GP / doctor within 400m,gp,6,69,75,50.844937,4.291537
21001A82-,family,2,+1 childcare centre within 400m,childcare,4,69,73,50.839854,4.291537
21001A82-,family,3,+1 pharmacy within 400m,pharmacy,4,69,73,50.84599,4.287512
21001A82-,remote,1,+1 coworking space within 550m,coworking,20,55,75,50.84047,4.280149
21001A82-,remote,2,+1 library within 550m,library,7,55,62,50.844321,4.294874
21001A82-,remote,3,+1 pharmacy within 400m,pharmacy,4,55,59,50.84599,4.287512
21001A82-,senior,1,+1 GP / doctor within 300m,gp,26,33,59,50.844307,4.290538
21001A82-,senior,2,+1 transit stop within 250m,transit,11,33,44,50.842396,4.284087
21001A82-,senior,3,+1 supermarket within 300m,supermarket,9,33,42,50.839693,4.287512
21001A83-,family,1,+1 supermarket within 400m,supermarket,7,87,94,50.837886,4.294077
21001A83-,remote,1,+1 coworking space within 550m,coworking,20,63,83,50.839554,4.286714
21001A83-,remote,2,+1 supermarket within 400m,supermarket,7,63,70,50.837886,4.294077
21001A83-,remote,3,+1 café within 400m,cafe,4,63,67,50.838159,4.296255
21001A83-,senior,1,+1 supermarket within 300m,supermarket,12,63,75,50.838778,4.294077
21001A83-,senior,2,+1 hospital within 0m,hospital,7,63,70,50.84148,4.294077
21001A83-,senior,3,+1 local shop within 200m,convenience,6,63,69,50.840334,4.292261
21001A84-,family,1,+1 childcare centre within 400m,childcare,9,76,85,50.842739,4.298622
21001A84-,remote,1,+1 coworking space within 550m,coworking,20,64,84,50.843355,4.287233
21001A84-,remote,2,+1 library within 550m,library,8,64,72,50.847207,4.30196
21001A84-,remote,3,+1 café within 400m,cafe,6,64,70,50.84196,4.296775
21001A84-,senior,1,+1 hospital within 0m,hospital,7,76,83,50.845281,4.294596
21001A84-,senior,2,+1 park within 300m,park,5,76,81,50.847192,4.29157
21001A84-,senior,3,+1 library within 400m,library,5,76,81,50.846729,4.300133
21001A85-,family,1,+1 childcare centre within 400m,childcare,10,72,82,50.845115,4.29773
21001A85-,family,2,+1 playground within 250m,playground,7,72,79,50.849649,4.295012
21001A85-,remote,1,+1 coworking space within 550m,coworking,20,57,77,50.845731,4.286341
21001A85-,remote,2,+1 library within 550m,library,8,57,65,50.849583,4.301068
21001A85-,remote,3,+1 café within 400m,cafe,7,57,64,50.844336,4.295883
21001A85-,senior,1,+1 GP / doctor within 300m,gp,14,54,68,50.849568,4.296731
21001A85-,senior,2,+1 transit stop within 250m,transit,11,54,65,50.847657,4.29028
21001A85-,senior,3,+1 hospital within 0m,hospital,6,54,60,50.847657,4.293705
21001A90-,family,1,+1 childcare centre within 400m,childcare,9,88,97,50.842934,4.312058
21001A90-,remote,1,+1 coworking space within 550m,coworking,20,76,96,50.84355,4.300669
21001A90-,remote,2,+1 library within 550m,library,4,76,80,50.847402,4.315396
21001A90-,senior,1,+1 GP / doctor within 300m,gp,11,78,89,50.847387,4.311059
21001A90-,senior,2,+1 hospital within 0m,hospital,5,78,83,50.845476,4.308033
21001A90-,senior,3,+1 library within 400m,library,5,78,83,50.846924,4.313569
21001A911,family,1,+1 childcare centre within 400m,childcare,10,88,98,50.843152,4.318453
21001A911,remote,1,+1 coworking space within 550m,coworking,17,77,94,50.843768,4.307064
21001A911,remote,2,+1 library within 550m,library,6,77,83,50.84762,4.321791
21001A911,senior,1,+1 library within 400m,library,5,92,97,50.847142,4.319964
21001A92-,remote,1,+1 coworking space within 550m,coworking,19,79,98,50.840332,4.299317
21001A92-,senior,1,+1 GP / doctor within 300m,gp,17,72,89,50.844168,4.309707
21001A92-,senior,2,+1 hospital within 0m,hospital,5,72,77,50.842257,4.30668
21001A92-,senior,3,+1 park within 300m,park,4,72,76,50.844168,4.303654
21001A931,family,1,+1 childcare centre within 400m,childcare,10,80,90,50.840022,4.318652
21001A931,family,2,+1 playground within 250m,playground,3,80,83,50.844556,4.315934
21001A931,remote,1,+1 coworking space within 550m,coworking,6,84,90,50.840638,4.307263
21001A931,remote,2,+1 library within 550m,library,5,84,89,50.844489,4.321989
21001A931,senior,1,+1 supermarket within 300m,supermarket,7,79,86,50.839861,4.314626
21001A931,senior,2,+1 park within 300m,park,5,79,84,50.844475,4.3116
21001A931,senior,3,+1 library within 400m,library,5,79,84,50.844012,4.320163
21001A941,family,1,+1 playground within 250m,playground,8,86,94,50.842338,4.304037
21001A941,family,2,+1 park within 400m,park,5,86,91,50.842888,4.298705
21001A941,remote,1,+1 coworking space within 550m,coworking,20,72,92,50.83842,4.295368
21001A941,remote,2,+1 park within 400m,park,5,72,77,50.842888,4.298705
21001A941,senior,1,+1 park within 300m,park,8,81,89,50.842257,4.299704
21001A941,senior,2,+1 hospital within 0m,hospital,5,81,86,50.840346,4.30273
21001A95-,family,1,+1 playground within 250m,playground,6,91,97,50.84122,4.300249
21001A95-,remote,1,+1 coworking space within 550m,coworking,20,75,95,50.837302,4.29158
21001A95-,senior,1,+1 hospital within 0m,hospital,5,86,91,50.839228,4.298942
21001A95-,senior,2,+1 supermarket within 300m,supermarket,4,86,90,50.836525,4.298942
21001A95-,senior,3,+1 park within 300m,park,4,86,90,50.841139,4.295916
21001A982,family,1,+1 childcare centre within 400m,childcare,4,94,98,50.838511,4.314561
21001A982,remote,1,+1 coworking space within 550m,coworking,10,89,99,50.839127,4.303174
